"대여일자","사용자코드","성별","연령대코드","신규가입자수"
"2018-06-07","회원-내국인","F","70대~","6"
"2018-06-07","회원-내국인","F","60대","10"
"2018-06-07","회원-내국인","F","50대","48"
"2018-06-07","회원-내국인","F","40대","89"
"2018-06-07","회원-내국인","F","30대","190"
"2018-06-07","회원-내국인","F","20대","591"
"2018-06-06","회원-내국인","M","~10대","86"
"2018-06-06","회원-내국인","M","70대~","14"
"2018-06-06","회원-내국인","M","60대","20"
"2018-06-06","회원-내국인","M","50대","90"
"2018-06-06","회원-내국인","M","40대","246"
"2018-06-06","회원-내국인","M","30대","548"
"2018-06-06","회원-내국인","M","20대","968"
"2018-06-06","회원-내국인","F","~10대","79"
"2018-06-06","회원-내국인","F","70대~","17"
"2018-06-06","회원-내국인","F","60대","13"
"2018-06-06","회원-내국인","F","50대","81"
"2018-06-06","회원-내국인","F","40대","178"
"2018-06-06","회원-내국인","F","30대","446"
"2018-06-06","회원-내국인","F","20대","1266"
"2018-06-05","회원-내국인","M","~10대","36"
"2018-06-05","회원-내국인","M","70대~","4"
"2018-06-05","회원-내국인","M","60대","9"
"2018-06-05","회원-내국인","M","50대","57"
"2018-06-05","회원-내국인","M","40대","159"
"2018-06-05","회원-내국인","M","30대","269"
"2018-06-05","회원-내국인","M","20대","501"
"2018-06-05","회원-내국인","F","~10대","59"
"2018-06-05","회원-내국인","F","70대~","3"
"2018-06-05","회원-내국인","F","60대","6"
"2018-06-05","회원-내국인","F","50대","46"
"2018-06-05","회원-내국인","F","40대","87"
"2018-06-05","회원-내국인","F","30대","229"
"2018-06-05","회원-내국인","F","20대","719"
"2018-06-04","회원-내국인","M","~10대","41"
"2018-06-04","회원-내국인","M","70대~","3"
"2018-06-04","회원-내국인","M","60대","16"
"2018-06-04","회원-내국인","M","50대","52"
"2018-06-04","회원-내국인","M","40대","142"
"2018-06-04","회원-내국인","M","30대","277"
"2018-06-04","회원-내국인","M","20대","523"
"2018-06-04","회원-내국인","F","~10대","52"
"2018-06-04","회원-내국인","F","70대~","2"
"2018-06-04","회원-내국인","F","60대","15"
"2018-06-04","회원-내국인","F","50대","31"
"2018-06-04","회원-내국인","F","40대","85"
"2018-06-04","회원-내국인","F","30대","248"
"2018-06-04","회원-내국인","F","20대","693"
"2018-06-03","회원-내국인","M","~10대","67"
"2018-06-03","회원-내국인","M","70대~","2"
"2018-06-03","회원-내국인","M","60대","13"
"2018-06-03","회원-내국인","M","50대","77"
"2018-06-03","회원-내국인","M","40대","232"
"2018-06-03","회원-내국인","M","30대","453"
"2018-06-03","회원-내국인","M","20대","909"
"2018-06-03","회원-내국인","F","~10대","113"
"2018-06-03","회원-내국인","F","70대~","3"
"2018-06-03","회원-내국인","F","60대","11"
"2018-06-03","회원-내국인","F","50대","62"
"2018-06-03","회원-내국인","F","40대","146"
"2018-06-03","회원-내국인","F","30대","348"
"2018-06-03","회원-내국인","F","20대","1026"
"2018-06-02","회원-내국인","M","~10대","80"
"2018-06-02","회원-내국인","M","70대~","4"
"2018-06-02","회원-내국인","M","60대","12"
"2018-06-02","회원-내국인","M","50대","57"
"2018-06-02","회원-내국인","M","40대","182"
"2018-06-02","회원-내국인","M","30대","448"
"2018-06-02","회원-내국인","M","20대","907"
"2018-06-02","회원-내국인","F","~10대","94"
"2018-06-02","회원-내국인","F","70대~","4"
"2018-06-02","회원-내국인","F","60대","18"
"2018-06-02","회원-내국인","F","50대","68"
"2018-06-02","회원-내국인","F","40대","147"
"2018-06-02","회원-내국인","F","30대","383"
"2018-06-02","회원-내국인","F","20대","1109"
"2018-06-01","회원-내국인","M","~10대","45"
"2018-06-01","회원-내국인","M","70대~","1"
"2018-06-01","회원-내국인","M","60대","14"
"2018-06-01","회원-내국인","M","50대","50"
"2018-06-01","회원-내국인","M","40대","122"
"2018-06-01","회원-내국인","M","30대","273"
"2018-06-01","회원-내국인","M","20대","528"
"2018-06-01","회원-내국인","F","~10대","66"
"2018-06-01","회원-내국인","F","70대~","2"
"2018-06-01","회원-내국인","F","60대","5"
"2018-06-01","회원-내국인","F","50대","35"
"2018-06-01","회원-내국인","F","40대","82"
"2018-06-01","회원-내국인","F","30대","207"
"2018-06-01","회원-내국인","F","20대","679"
"2018-05-31","회원-내국인","M","~10대","21"
"2018-05-31","회원-내국인","M","70대~","23"
"2018-05-31","회원-내국인","M","60대","10"
"2018-05-31","회원-내국인","M","50대","45"
"2018-05-31","회원-내국인","M","40대","115"
"2018-05-31","회원-내국인","M","30대","220"
"2018-05-31","회원-내국인","M","20대","480"
"2018-05-31","회원-내국인","F","~10대","58"
"2018-05-31","회원-내국인","F","70대~","18"
"2018-05-31","회원-내국인","F","60대","7"
